Wine 0, 0.193879, 0.21583, 0.192741, 0.198929, 0.19862, 
Wine 1, 0.191504, 0.213186, 0.196772, 0.199131, 0.199408, 
Wine 2, 0.185345, 0.214737, 0.203307, 0.197863, 0.198747, 
Wine 3, 0.181989, 0.221769, 0.19734, 0.199022, 0.199879, 
Wine 4, 0.200989, 0.201376, 0.195823, 0.19304, 0.208773, 
Wine 5, 0.189789, 0.223574, 0.193549, 0.199823, 0.193265, 
Wine 6, 0.192666, 0.196678, 0.207708, 0.192636, 0.210312, 
Wine 7, 0.187691, 0.213927, 0.199428, 0.200429, 0.198525, 
Wine 8, 0.196895, 0.205043, 0.191265, 0.199477, 0.207321, 
Wine 9, 0.187798, 0.208749, 0.196213, 0.197885, 0.209355, 
Wine 10, 0.205407, 0.190102, 0.202879, 0.202565, 0.199047, 
Wine 11, 0.18979, 0.205108, 0.205108, 0.202584, 0.197409, 
Wine 12, 0.19991, 0.189244, 0.208122, 0.192114, 0.210611, 
Wine 13, 0.195777, 0.211129, 0.190784, 0.195669, 0.206642, 
Wine 14, 0.191528, 0.207176, 0.191681, 0.193992, 0.215622, 
Wine 15, 0.198355, 0.195348, 0.20387, 0.195807, 0.20662, 
Wine 16, 0.198941, 0.190873, 0.202584, 0.198861, 0.208741, 
Wine 17, 0.192827, 0.208854, 0.19482, 0.206003, 0.197496, 
Wine 18, 0.208456, 0.195419, 0.191552, 0.197074, 0.207499, 
Wine 19, 0.189921, 0.193739, 0.200949, 0.20838, 0.20701, 
Wine 20, 0.2077, 0.188749, 0.193612, 0.210516, 0.199424, 
Wine 21, 0.206326, 0.19266, 0.197678, 0.212065, 0.191272, 
Wine 22, 0.209862, 0.186491, 0.198817, 0.2097, 0.19513, 
Wine 23, 0.206117, 0.185773, 0.201443, 0.205979, 0.200688, 
Wine 24, 0.1909, 0.221173, 0.192204, 0.203793, 0.191931, 
Wine 25, 0.18553, 0.205636, 0.207933, 0.198036, 0.202865, 
Wine 26, 0.190873, 0.212826, 0.194654, 0.200964, 0.200683, 
Wine 27, 0.191827, 0.207771, 0.203939, 0.196791, 0.199671, 
Wine 28, 0.186282, 0.209371, 0.204002, 0.207191, 0.193153, 
Wine 29, 0.195946, 0.202383, 0.208689, 0.198466, 0.194516, 
Wine 30, 0.202008, 0.197564, 0.200185, 0.194018, 0.206224, 
Wine 31, 0.20635, 0.181362, 0.210337, 0.203326, 0.198625, 
Wine 32, 0.190629, 0.212854, 0.201138, 0.198111, 0.197268, 
Wine 33, 0.19137, 0.213681, 0.198488, 0.201555, 0.194906, 
Wine 34, 0.188463, 0.212824, 0.203177, 0.193325, 0.202211, 
Wine 35, 0.199839, 0.191766, 0.207016, 0.21097, 0.190409, 
Wine 36, 0.194044, 0.204789, 0.197546, 0.196556, 0.207065, 
Wine 37, 0.195085, 0.208825, 0.194597, 0.197594, 0.203899, 
